left_boundaries	IM_lambda00	IM_lambda01	IM_lambda11	IM_rCCR	MSMC_lambda00	MSMC_lambda01	MSMC_lambda11	MSMC_rCCR	msmc_N1	msmc_N2	naive_im_N1	naive_im_N2	im_N1	im_N2
0.0	2.51794101016e-06	0.0	1.27313366898e-05	0.0	2.3872624999999995e-06	3.0992375e-08	1.2872249999999997e-05	0.004062039989809636	209444.91860446855	38843.248072403825	198574.94595123047	39273.17391589546	198574.94595123047	39273.17391589546
69.80536	2.51794104905e-06	3.53345281497e-28	1.27313417205e-05	4.63425443461e-23	2.3872624999999995e-06	3.0992375e-08	1.2872249999999997e-05	0.004062039989809636	209444.91860446855	38843.248072403825	198574.94595123047	39273.17391589546	198574.94595123047	39273.17391589546
158.8328	2.51794168655e-06	8.03375725192e-28	1.27288313578e-05	1.05383050283e-22	2.3872624999999995e-06	2.4664625e-08	1.2872249999999997e-05	0.003232688462360774	209444.91860446855	38843.248072403825	198574.90056850316	39280.953360444604	198574.90056850316	39280.953360444604
272.3768	8.76519248136e-06	8.63705230112e-28	7.98671961388e-06	1.03117211361e-22	9.0226575e-06	2.465625e-08	7.7467375e-06	0.0029406248704857865	55416.045660604985	64543.299679381154	57003.32828207908	62637.81824920013	57003.32828207908	62637.81824920013
417.1872	1.87214780496e-05	2.70928353262e-27	1.63614976014e-05	1.5445004207e-22	1.8975750000000002e-05	2.4656375e-08	1.61224475e-05	0.0014049938034567157	26349.419654032117	31012.661073946743	26649.753206298024	30539.007130749862	26649.753206298024	30539.007130749862
601.8752000000001	2.6607864709e-05	5.27751349995e-08	3.05642157411e-05	0.00184618557114	2.638999999999999e-05	2.46555e-08	3.086765e-05	0.0008612124318759154	18946.57067070861	16198.188070682414	18688.79372122595	16274.751550684117	18732.711525918832	16312.99646743422
837.4240000000001	2.79970183319e-05	8.18494377884e-08	6.12964691579e-05	0.00183326780237	2.7765799999999994e-05	3.2547e-07	6.151962499999999e-05	0.007290551621387255	18007.764948245687	8127.487773210582	17755.362819183247	8055.269813477824	17797.08710423748	8074.199326623179
1137.832	3.0759738253e-05	3.05470142324e-06	0.000112975579709	0.0425045349542	3.0591950000000004e-05	3.0573374999999996e-06	0.00011323135000000001	0.042515190515027806	16344.168972556503	4415.738220907901	15534.747359036244	4125.708025812616	16349.395297212834	4342.06169150592
1520.96	3.69527271988e-05	1.47050721946e-05	0.000150917354039	0.15654511988	3.6794975e-05	1.4725749999999999e-05	0.00015111675	0.15673050736988337	13588.812059255373	3308.700061376386	11830.667706245276	2700.5397384038097	13978.407265677642	3190.7957553932156
2009.6000000000001	4.08523017811e-05	3.6263759039e-05	0.000148454644917	0.383121271264	4.062587499999999e-05	3.6469125e-05	0.00014826175000000002	0.38614626024335896	12307.427224644394	3372.413990796682	9843.010652969033	2164.586834308096	13804.960704245012	3035.8634407792492
2632.7920000000004	3.88046530945e-05	4.73735933244e-05	0.000118000818068	0.604233933588	3.849631249999999e-05	4.774975e-05	0.0001173283	0.6128653135588578	12988.256992146979	4261.546447020881	10995.749872613536	2138.589233651743	17535.56765099968	3410.5337624860103
3427.6000000000004	3.20431380257e-05	3.90010320437e-05	7.6907387625e-05	0.715940227195	3.15798125e-05	3.95065e-05	7.614033749999998e-05	0.733502506262756	15832.899577855313	6566.821430230725	13487.551058812005	2874.7732958244774	22855.77557992314	4871.542135856621
4441.272	2.4506455364e-05	2.62489211491e-05	4.42650980186e-05	0.763365660889	2.3932750000000006e-05	2.6695375e-05	4.3887524999999984e-05	0.7872387718864308	20891.874105566636	11392.759104096214	15058.544179814122	4861.330964496485	26206.63985192796	8460.256733075345
5734.088000000001	1.94193455207e-05	1.88030143153e-05	2.61704137899e-05	0.824878858744	1.8720362500000002e-05	1.9163875e-05	2.6295525e-05	0.8514271766828988	26708.884510115655	19014.64222524555	16192.439584047142	8411.630469005619	29027.490657091595	15079.168496050677
7382.904	1.69493882245e-05	1.57670159613e-05	1.88023409653e-05	0.882028160239	1.61267125e-05	1.5883375e-05	1.9598600000000002e-05	0.8891944612101014	31004.45921634679	25512.02636923045	16228.754944686694	12521.688536249369	29936.20939177322	23098.00667009604
9485.76	1.52678194724e-05	1.52248663275e-05	1.59225296853e-05	0.976254946711	1.5092200000000003e-05	1.4968e-05	1.6704649999999996e-05	0.9414769073037109	33129.696134427046	29931.785460934538	16563.352854436278	16563.35285449774	32610.35917351825	32610.359173639266
12167.68	1.58765954437e-05	1.5991427606e-05	1.66402512191e-05	0.983578006309	1.5967937499999996e-05	1.585225e-05	1.68668375e-05	0.9655768921821454	31312.74781104323	29643.96852699862	16115.774929930792	16115.774929881323	32231.549859861585	32231.54985976265
15588.16	1.8743026664e-05	1.88864355907e-05	1.96989663521e-05	0.982593986881	1.9267062500000005e-05	1.8731e-05	1.9015724999999997e-05	0.9785598815133303	25951.023930087937	26294.027706016997	13195.812609356597	13195.812609379687	26391.625218713194	26391.625218759375
19950.559999999998	2.30096270778e-05	2.32014883149e-05	2.42935029151e-05	0.980970532748	2.3722550000000002e-05	2.329675e-05	2.2877500000000002e-05	0.9998594422108988	21076.992144605025	21855.534914217023	9710.185876340372	9710.185876286574	19420.371752680745	19420.371752573148
25514.16	2.78200945788e-05	2.80864490067e-05	2.96149767056e-05	0.978024345702	2.83106e-05	2.8239499999999996e-05	2.7431975e-05	1.0132111765558012	17661.22936285349	18226.904916616466	7008.291563599602	7008.2915643435435	14016.583127199205	14016.583128687087
