pair	tgens	m	M	MSMCrCCR
Dai_Australian	0.0	2.8238618556248585e-24	0.0	0.040883792116279155
Dai_Australian	54.96152000000001	2.8238618556248585e-24	0.0	0.040883792116279155
Dai_Australian	125.05839999999999	5.374953661871187e-26	0.0	0.13413365482595327
Dai_Australian	214.4576	0.00025872995170021014	0.05729240344202735	0.042814974866299
Dai_Australian	328.47440000000006	7.363154667340537e-05	0.07726509570034168	0.06780317507284257
Dai_Australian	473.88880000000006	0.0003564735688033644	0.19154910044042306	0.1805456766979564
Dai_Australian	659.3472	0.000684801550328382	0.4152555890399231	0.3935747268685117
Dai_Australian	895.872	0.00037740002725184446	0.5343292479337608	0.5364045473033938
Dai_Australian	1197.536	0.00015459070177507593	0.5865535091070148	0.5962302014589785
Dai_Australian	1582.2640000000001	0.0001471388785749414	0.6421435634051537	0.6603364986227204
Dai_Australian	2072.9440000000004	0.000147418322936037	0.7024371460116628	0.7312779859791099
Dai_Australian	2698.736	0.00012231707853912213	0.7552155412477803	0.7883459565045502
Dai_Australian	3496.856	6.655095931569908e-05	0.7862316209989764	0.8310436322536581
Dai_Australian	4514.76	3.531097088396714e-05	0.8049587415511712	0.8549220947609002
Dai_Australian	5812.968	7.684788565624733e-05	0.8487797105550849	0.8896019053435797
Dai_Australian	7468.664000000001	0.0003178741443102365	0.9605017662373319	0.9228385120801856
Dai_Australian	9580.320000000002	0.00019035623484593597	0.9858324861073432	0.9475962557005289
Dai_Australian	12273.44	0.00013880699151786236	0.9945401283079883	0.9788415429268498
Dai_Australian	15708.160000000002	0.0001467662898439829	0.9984907871665187	1.0047168503637638
Dai_Australian	20088.72	1e-30	0.9992476322187324	1.0055182036606185
Dai_Australian	25675.52	1e-30	0.9995684051012154	1.0008764766998361
Dai_Australian	32800.880000000005	1e-30	0.9997833540765125	0.9906228678349266
Dai_Australian	41888.32	1e-30	0.9998892158656878	0.9809193919922694
Dai_Australian	53478.16	1e-30	0.9999760280356312	0.9755373567344646
Dai_Australian	68259.6	1e-30	0.9999954251174664	0.9888504899828803
Dai_Australian	87111.2	1e-30	0.999998468280699	0.9965615015101531
Dai_Australian	111154.40000000001	1e-30	0.999999283371445	0.9748230484407165
Dai_Australian	141818.4	1e-30	0.9999994503666297	0.9099747175239438
Dai_Australian	180926.40000000002	1e-30	0.999999608145576	0.9811883832656103
Dai_Australian	230803.2	1e-30	0.9999996167242342	1.080047603615983
Dai_Australian	294415.2	1e-30	0.9999996273933428	1.080047603615983
Dai_Australian	375544.80000000005	1e-30	0.9999997482395875	1.0800476036159834
Dinka_Australian	0.0	1.8084404887525885e-22	0.0	0.0064458662618821425
Dinka_Australian	69.35192	1.8084404887525885e-22	0.0	0.0064458662618821425
Dinka_Australian	157.8016	1.8084404887525885e-22	0.0	0.0028596207078167134
Dinka_Australian	270.608	1.8084404887525885e-22	0.0	0.0011807465189603902
Dinka_Australian	414.4776	1.8084404887525885e-22	0.0	0.001964354917701169
Dinka_Australian	597.9656	1.8084404887525885e-22	0.0	0.00737005124623869
Dinka_Australian	831.984	4.574146379008833e-05	0.026934253956973686	0.02257309922281324
Dinka_Australian	1130.44	7.85798278425085e-05	0.0834373718310506	0.06912024720520521
Dinka_Australian	1511.0800000000002	0.00011757555752784792	0.1823184169143004	0.1568126766543349
Dinka_Australian	1996.544	0.0001615399181233874	0.33056272507006257	0.30308849039771013
Dinka_Australian	2615.6960000000004	0.00018057106307568465	0.4966603439136641	0.48885597810287346
Dinka_Australian	3405.3360000000002	0.00013525098836548782	0.6166892920987939	0.6325322574931064
Dinka_Australian	4412.424	8.61265577532252e-05	0.6927685874395257	0.7248853781491303
Dinka_Australian	5696.84	9.752827409449004e-05	0.7767980921451137	0.8248781150703673
Dinka_Australian	7334.952	9.03448905572618e-05	0.8469785294430139	0.9043730576466378
Dinka_Australian	9424.16	7.860844501504741e-05	0.8993471987958647	0.9432064604885783
Dinka_Australian	12088.640000000001	9.46003225828452e-05	0.9470828341519266	0.9543555743789872
Dinka_Australian	15486.880000000001	7.390986186868555e-05	0.972115659073359	0.9746280860297083
Dinka_Australian	19820.960000000003	4.511013069732425e-05	0.9830651949440972	0.9832787881847368
Dinka_Australian	25348.480000000003	3.66336552916641e-05	0.9898966632335537	0.9980406323776206
Dinka_Australian	32398.079999999998	3.810552429222754e-05	0.9949080475131824	1.006805587474126
Dinka_Australian	41388.96000000001	7.058314724747074e-05	0.998991024273606	0.9999860710760552
Dinka_Australian	52855.76	1e-30	0.9998517690419962	1.001921139115281
Dinka_Australian	67480.16	1e-30	0.9999890219322083	1.0101527411907985
Dinka_Australian	86132.0	1e-30	0.9999987706270798	1.0131647259705088
